incident_id,name,description,start_date,end_date,inclusion_criterion,inclusion_criterion_subcode,source_disclosure,incident_type,receiver_name,receiver_country,receiver_country_alpha_2_code,receiver_regions,receiver_category,receiver_subcategory,initiator_name,initiator_country,initiator_alpha_2,initiator_category,initiator_subcategory,number_attributions,attribution_id,attribution_date,attribution_type,attribution_basis,attributing_actor,attributing_company,attributing_country,settled_initiator,initiator_country,initiator_category,attribution_source_url,cyber_conflict_issue,offline_conflict_issue,offline_conflict_name,offline_conflict_intensity,offline_conflict_intensity_subcode,number_political_responses,political_response_date,political_response_type,political_response_subtype,political_response_responding_country,political_response_responding_actor,zero_days,zero_days_subcode,mitre_initial_access,mitre_impact,user_interaction,has_disruption,data_theft,disruption,hijacking,physical_effects_spatial,physical_effects_temporal,unweighted_intensity,target_multiplier,weighted_intensity,impact_indicator_label,impact_indicator_score,functional_impact,intelligence_impact,affected_entities,affected_entities_value,affected_third_countries,affected_third_countries_value,economic_impact,economic_impact_value,economic_impact_currency,state_responsibility_actor,il_breach_indicator,il_breach_indicator_subcode,evidence_for_sanctions_indicator,number_legal_responses,legal_response_date,legal_response_type,legal_response_subtype,legal_response_responding_country,legal_response_responding_actor,attribution_legal_reference,attribution_legal_reference_subcode,response_indicator,casualties,source_url,added_to_db,updated_at
11,Titan Rain,"Titan Rain was the designation given by the federal government of the United States to a series of coordinated attacks on American computer systems since 2003; they were known to have been ongoing for at least three years.[1] The attacks were labeled as Chinese in origin, although their precise nature, e.g., state-sponsored espionage, corporate espionage, or random hacker attacks, and their real identities – masked by proxy, zombie computer, spyware/virus infected – remain unknown.",01.01.2003,Not available,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals","Attack conducted by a state-affiliated group (includes state-sanctioned, state-supported, state-controlled but officially non-state actors) (“cyber-proxies”) / a group that is generally attributed as state-affiliated ",Incident disclosed by media (without further information on source);Incident disclosed by victim,Data theft,Not available;Not available;Not available;Not available;Not available;Not available,United States;United States;United States;United Kingdom;United Kingdom;United Kingdom,US;US;US;GB;GB;GB,"['NATO', 'NORTHAM'];['NATO', 'NORTHAM'];['NATO', 'NORTHAM'];['EUROPE', 'NATO', 'EU', 'NORTHEU'];['EUROPE', 'NATO', 'EU', 'NORTHEU'];['EUROPE', 'NATO', 'EU', 'NORTHEU']",State institutions / political system;State institutions / political system;Critical infrastructure;State institutions / political system;State institutions / political system;Critical infrastructure,Government / ministries;Military;Defence industry;Government / ministries;Military;Defence industry,Unknown,China,CN,State affiliated actor,Not available,2,11,01.01.2005,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Attribution by receiver government / state entity,Not available,Not available,Not available,TRUE,China,State affiliated actor,https://www.symantec.com/content/en/us/enterprise/articles/b-cxo_how_to_combat_cyber_espionage_somaini_ART_21032685.en-us.pdf;https://www.theguardian.com/technology/2014/may/19/us-accusations-chinese-hacking-eight-years;https://www.washingtonpost.com/wp-dyn/content/article/2005/08/24/AR2005082402318.html,Unknown,Unknown,Not available,Unknown,Not available,0,Not available,Not available,Not available,Not available,Not available,No,Not available,Not available,Not available,Not available,FALSE,For private / commercial targets: sensitive information (incident scores 2 points in intensity),none,none,none,none,2,Moderate - high political importance,2,Not available,0,Not available,Not available,Not available,0,Not available,0,Not available,0,Not available,Not available,Not available,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"http://content.time.com/time/subscriber/article/0,33009,1098961,00.html;https://www.symantec.com/content/en/us/enterprise/articles/b-cxo_how_to_combat_cyber_espionage_somaini_ART_21032685.en-us.pdf;https://www.theguardian.com/technology/2014/may/19/us-accusations-chinese-hacking-eight-years;https://www.washingtonpost.com/wp-dyn/content/article/2005/08/24/AR2005082402318.html;https://www.darkreading.com/ics-ot/volt-typhoon-breaks-fresh-ground-china-backed-cyber-campaigns",8/15/22,12/17/24
10,NSA vs. US muslims,The NSA spied on prominent muslims in the US,01.01.2002,Not available,"Attack conducted by nation state (generic “state-attribution” or direct attribution towards specific state-entities, e.g., intelligence agencies);Attack on (inter alia) political target(s), not politicized",Not available;Not available,"Incident disclosed by third-party-actor (e.g., Citizen Lab, Amnesty International, whistleblowers) or authorities of another state",Data theft,Not available;Not available;Not available;Not available;Not available;Not available,United States;United States;United States;United States;United States;United States,US;US;US;US;US;US,"['NATO', 'NORTHAM'];['NATO', 'NORTHAM'];['NATO', 'NORTHAM'];['NATO', 'NORTHAM'];['NATO', 'NORTHAM'];['NATO', 'NORTHAM']",State institutions / political system;State institutions / political system;State institutions / political system;Social groups;End user(s) / specially protected groups;Science,Legislative;Civil service / administration;Election infrastructure / related systems;Religious;Not available;Not available,NSA/Equation Group,United States,US,State,Not available,1,10,01.01.2013,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",Attribution by third-party,Not available,Not available,Not available,TRUE,United States,State,Not available,National power,Unknown,Not available,Unknown,Not available,0,Not available,Not available,Not available,Not available,Not available,No,Not available,Not available,Not available,Not available,FALSE,For private / commercial targets: sensitive information (incident scores 2 points in intensity),none,none,none,none,2,Moderate - high political importance,2,Not available,0,Not available,Not available,Not available,0,Not available,0,Not available,0,Not available,Not available,Not available,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://theintercept.com/2014/07/09/under-surveillance/,8/15/22,10/11/24
9,ZeeNews/India Today Hack 2001,"Website-defacements of Indian news outlets over the criticism of militant groups operating inside Pakistan, and Pakistani-controlled Kashmir.",22.10.2001,22.10.2001,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals",Not available,Incident disclosed by attacker,Disruption,Not available,India,IN,"['ASIA', 'SASIA', 'SCO']",Media,Not available,Unknown,Pakistan,PK,Non-state-group,Hacktivist(s),1,8662,Not available,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,Not available,Not available,Not available,TRUE,Pakistan,Non-state-group,http://news.bbc.co.uk/2/hi/south_asia/1617478.stm,System / ideology;Territory;Resources,Territory;Resources;International power,Not available;Not available;Not available,Yes / HIIK intensity;Yes / HIIK intensity;Yes / HIIK intensity,HIIK 4;HIIK 4;HIIK 4,0,Not available,NA,NA,Not available,Not available,No,Not available,Not available,Not available,Not available,TRUE,none,Short-term disruption (< 24h; incident scores 1 point in intensity),none,none,none,1,Moderate - high political importance,1,Not available,0,Not available,Not available,Not available,0,Not available,0,Not available,0,euro,Not available,Not available,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,http://news.bbc.co.uk/2/hi/south_asia/1617478.stm,8/15/22,3/13/23
8,Prior 9/11 Taliban Hack,"A couple of weeks bevor 9/11 pro Taliban websites have been defaced by western activists, claiming to do so because of the Taliban`s threats to internet users.",01.08.2001,Not available,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals;Attack on (inter alia) political target(s), not politicized",Not available;Not available,Incident disclosed by attacker,Disruption,Not available,Afghanistan,AF,"['ASIA', 'SASIA']",Critical infrastructure,Health,Unknown,Unknown,Unknown,Non-state-group,Hacktivist(s),1,8661,Not available,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,Not available,Not available,Not available,TRUE,Unknown,Non-state-group,Not available,System / ideology;Cyber-specific,Unknown,Not available,Unknown,Not available,0,Not available,NA,NA,Not available,Not available,No,Not available,Not available,Not available,Not available,TRUE,none,Short-term disruption (< 24h; incident scores 1 point in intensity),none,none,none,1,Moderate - high political importance,1,Not available,0,Not available,Not available,Not available,0,Not available,0,Not available,0,euro,Not available,Not available,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://books.google.de/books?id=WfIFiEs0HQ8C&pg=PA89&lpg=PA89&dq=Pro-Palestinian+Hackers++AT%26T+2000&q=Pro-Palestinian%20Hackers%20%20AT%26T%202000&f=false,8/15/22,3/13/23
7,Textbook Hack South Korea vs. Japan,DDoS retaliatory campaign over a revisionist WWII Japanese history textbook,01.05.2001,Not available,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals",Not available,Incident disclosed by attacker,Disruption,Not available;Not available;Not available,Japan;Japan;Japan,JP;JP;JP,"['ASIA', 'SCS', 'NEA'];['ASIA', 'SCS', 'NEA'];['ASIA', 'SCS', 'NEA']",Social groups;Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition);End user(s) / specially protected groups,Not available;Not available;Not available,Antijapan,"Korea, Republic of",KR,Non-state-group,Hacktivist(s),1,7,Not available,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,Not available,Not available,Not available,TRUE,"Korea, Republic of",Non-state-group,https://cmsw.mit.edu/mit2/Abstracts/ducke1.pdf,System / ideology;Other,Unknown,Not available,Unknown,Not available,0,Not available,Not available,Not available,Not available,Not available,No,Not available,Not available,Not available,Not available,TRUE,none,Short-term disruption (< 24h; incident scores 1 point in intensity),none,none,none,1,Moderate - high political importance,1,Not available,0,Not available,Not available,Not available,0,Not available,0,Not available,0,Not available,Not available,Not available,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cmsw.mit.edu/mit2/Abstracts/ducke1.pdf,8/15/22,3/13/23
6,"""First Sino-US-Cyber-War"" II","After the collision of an American spy plane and a Chinese jet, hackers in the United States and China began defacing Web sites on both sides of the Pacific.",01.05.2001,Not available,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals;Attack on (inter alia) political target(s), politicized",Not available;Not available,Incident disclosed by attacker,Disruption,Not available,China,CN,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']",Other,Not available,Unknown,United States,US,Non-state-group,Hacktivist(s),1,6,Not available,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,Not available,Not available,Not available,TRUE,United States,Non-state-group,https://www.nytimes.com/2001/05/13/weekinreview/may-6-12-the-first-world-hacker-war.html,Other,Other,Not available,Yes / HIIK intensity,HIIK 2,0,Not available,Not available,Not available,Not available,Not available,No,Not available,Not available,Not available,Not available,TRUE,none,Short-term disruption (< 24h; incident scores 1 point in intensity),none,none,none,1,Moderate - high political importance,1,Not available,0,Not available,Not available,Not available,0,Not available,0,Not available,0,Not available,Not available,Not available,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.nytimes.com/2001/05/13/weekinreview/may-6-12-the-first-world-hacker-war.html;https://www.theguardian.com/technology/2001/may/04/china.internationalnews;https://www.upi.com/Defense-News/2002/10/29/China-prevented-repeat-cyber-attack-on-US/51011035913195/,8/15/22,12/19/24
5,Honker Union of China defaced US government and corporate websites in April 2001,"After the collision of an American spy plane and a Chinese jet, Chinese hacker group ""Honkers Union of China"" targeted more than 80 government and corporate websites in the United States in April 2001 with defacement operations, according to the British computer security firm Mi2g.",01.04.2001,Not available,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals;Attack on (inter alia) political target(s), politicized",Not available;Not available,Incident disclosed by IT-security company,Disruption,Not available;Not available,United States;United States,US;US,"['NATO', 'NORTHAM'];['NATO', 'NORTHAM']",State institutions / political system;Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),Government / ministries;Not available,Honker Union of China,China,CN,Non-state-group,Hacktivist(s),1,17421,01.04.2001,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,Honker Union of China,Not available,China,TRUE,China,Non-state-group,https://www.nytimes.com/2001/05/13/weekinreview/may-6-12-the-first-world-hacker-war.html;https://www.theguardian.com/technology/2001/may/04/china.internationalnews;https://nsarchive2.gwu.edu//NSAEBB/NSAEBB424/docs/Cyber-030.pdf,Other,Other,Not available,Unknown,Not available,0,Not available,Not available,Not available,Not available,Not available,No,Not available,Not available,Not available,Not available,TRUE,none,Short-term disruption (< 24h; incident scores 1 point in intensity),none,none,none,1,Moderate - high political importance,1,Not available,0,Not available,Not available,Not available,0,Not available,0,Not available,0,euro,Not available,Not available,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.nytimes.com/2001/05/13/weekinreview/may-6-12-the-first-world-hacker-war.html;https://www.theguardian.com/technology/2001/may/04/china.internationalnews;https://nsarchive2.gwu.edu//NSAEBB/NSAEBB424/docs/Cyber-030.pdf;https://www.upi.com/Defense-News/2002/10/29/China-prevented-repeat-cyber-attack-on-US/51011035913195/,8/15/22,2/23/24
4,Chinese hacktivists targeted Taiwanese government websites after Taiwanese elections in May 2000,"Chinese hackers succeeded in attacking several Taiwanese government websites after Mr Chen was sworn in as the new Taiwanese President on May 20, 2000.",20.05.2000,20.05.2000,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals;Attack on (inter alia) political target(s), not politicized",Not available;Not available,Incident disclosed by attacker,Disruption,Not available,Taiwan,TW,"['ASIA', 'SCS']",State institutions / political system,Government / ministries,Unknown,China,CN,Non-state-group,Hacktivist(s),1,17418,20.05.2000,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,Not available,Not available,China,TRUE,China,Non-state-group,https://nsarchive2.gwu.edu//NSAEBB/NSAEBB424/docs/Cyber-030.pdf,National power,National power,Not available,Yes / HIIK intensity,HIIK 2,0,Not available,Not available,Not available,Not available,Not available,No,Not available,Not available,Not available,Not available,TRUE,none,Short-term disruption (< 24h; incident scores 1 point in intensity),none,none,none,1,Moderate - high political importance,1,Not available,0,Not available,Not available,Not available,0,Not available,0,Not available,0,euro,Not available,Not available,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,http://www.hartford-hwp.com/archives/55/105.html;https://nsarchive2.gwu.edu//NSAEBB/NSAEBB424/docs/Cyber-030.pdf,8/15/22,2/23/24
3,Armenian hacktivists target Azerbaijani webpages as part of a tit-for-tat between the nation`s hacktivists in February 2000,"In response to previous DDoS-operations against Armenian websites in January/February 2000, an Armenian hacker group called Liazor took down the webpages of many Azerbaijani users, humanitarian organization and newspapers as a revenge act.",01.02.2000,Not available,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals;Attack on (inter alia) political target(s), not politicized",Not available;Not available,Incident disclosed by attacker,Disruption,Not available;Not available;Not available,Azerbaijan;Azerbaijan;Azerbaijan,AZ;AZ;AZ,"['ASIA', 'CENTAS'];['ASIA', 'CENTAS'];['ASIA', 'CENTAS']",Social groups;End user(s) / specially protected groups;Media,Advocacy / activists (e.g. human rights organizations);Not available;Not available,Liazor,Armenia,AM,Non-state-group,Hacktivist(s),1,17417,01.02.2000,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,Liazor,Not available,Armenia,TRUE,Armenia,Non-state-group,Not available,Autonomy;Territory;Resources,Autonomy;Territory;Resources,Armenia - Azerbaijan;Armenia - Azerbaijan;Armenia - Azerbaijan,Yes / HIIK intensity;Yes / HIIK intensity;Yes / HIIK intensity,HIIK 1;HIIK 1;HIIK 1,0,Not available,Not available,Not available,Not available,Not available,No,Not available,Not available,Not available,Not available,TRUE,none,Short-term disruption (< 24h; incident scores 1 point in intensity),none,none,none,1,Moderate - high political importance,1,Not available,0,Not available,Not available,Not available,0,Not available,0,Not available,0,euro,Not available,Not available,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,8/15/22,2/23/24
2,Azerbaijani hackers took down and defaced Armenian state TV and other webpages in January/February 2000,"After an ethnic Armenian in California launched Aliyev.com, a site that disseminated ""black propaganda"" about the former Azerbaijani President Heydar Aliyev, in January/February 2000, Azerbaijani hackers took down and defaced webpages of the Armenian state TV and webpages with information about the Turkish massacre against ethnic Armenians in World War I. ",01.01.2000,Not available,"Attack conducted by non-state group / non-state actor with political goals (religious, ethnic, etc. groups) / undefined actor with political goals;Attack on (inter alia) political target(s), not politicized",Not available;Not available,Incident disclosed by attacker,Disruption,Not available;Not available;Not available,Armenia;Armenia;Armenia,AM;AM;AM,"['ASIA', 'CENTAS', 'CSTO'];['ASIA', 'CENTAS', 'CSTO'];['ASIA', 'CENTAS', 'CSTO']",State institutions / political system;Media;Other,Civil service / administration;Not available;Not available,Unknown,Azerbaijan,AZ,Non-state-group,Hacktivist(s),1,17416,Not available,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,Not available,Not available,Azerbaijan,TRUE,Azerbaijan,Non-state-group,Not available,Autonomy;Territory;Resources,Autonomy;Territory;Resources,Armenia - Azerbaijan;Armenia - Azerbaijan;Armenia - Azerbaijan,Yes / HIIK intensity;Yes / HIIK intensity;Yes / HIIK intensity,HIIK 1;HIIK 1;HIIK 1,0,Not available,Not available,Not available,Not available,Not available,No,Not available,Not available,Not available,Not available,TRUE,none,Short-term disruption (< 24h; incident scores 1 point in intensity),none,none,none,1,Moderate - high political importance,1,Not available,0,Not available,Not available,Not available,0,Not available,0,Not available,0,euro,Not available,Not available,Not available,Not available,0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://eurasianet.org/nagorno-karabakh-dispute-takes-to-cyber-space,8/15/22,2/2/25
